"","Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"","Jacori Hayes","FCD","2019","M","$71,663","$79,163","2019-09-13"
"","Anthony Fontana","PHI","2019","M","$70,260","$78,678","2019-09-13"
"","Gedion Zelalem","SKC","2019","M","$56,250","$77,917","2019-06-01"
"","Gedion Zelalem","SKC","2019","M","$56,250","$77,917","2019-09-13"
"","Jean-Christophe Koffi","NYRB","2019","M","$70,250","$76,031","2019-09-13"
"","Jean-Christophe Koffi","NYRB","2019","M","$70,250","$76,031","2019-06-01"
"","Josh Pérez","LAFC","2019","M","$76,000","$76,000","2019-06-01"
"","Josh Pérez","LAFC","2019","M","$76,000","$76,000","2019-09-13"
"","Efrain Álvarez","LAG","2019","M","$70,872","$75,606","2019-06-01"
"","Efrain Álvarez","LAG","2019","M","$70,872","$75,606","2019-09-13"
"","Tsubasa Endoh","TOR","2019","M","$70,250","$75,583","2019-09-13"
"","Isaac Angking","NER","2019","M","$70,250","$75,250","2019-09-13"
"","Isaac Angking","NER","2019","M","$70,250","$75,250","2019-06-01"
"","Marcus Epps","NYRB","2019","M","$70,250","$74,542","2019-06-01"
"","Marcus Epps","NYRB","2019","M","$70,250","$74,542","2019-09-13"
"","Florian Valot","NYRB","2019","M","$70,872","$74,508","2019-09-13"
"","Florian Valot","NYRB","2019","M","$70,872","$74,508","2019-06-01"
"","Tsubasa Endoh","TOR","2019","M","$70,250","$74,250","2019-06-01"
"","Nicolas Firmino","NER","2019","M","$70,250","$73,917","2019-09-13"
"","Vincent Bezecourt","NYRB","2019","M","$70,875","$73,296","2019-06-01"
"","Vincent Bezecourt","NYRB","2019","M","$70,875","$73,296","2019-09-13"
"","Lagos Kunga","ATL","2019","M","$70,250","$73,250","2019-09-13"
"","Lagos Kunga","ATL","2019","M","$70,250","$73,250","2019-06-01"
"","Amando Moreno","CHI","2019","M","$70,250","$72,750","2019-09-13"
"","Peter-Lee Vassell","LAFC","2019","M","$70,250","$72,750","2019-09-13"
"","Amando Moreno","CHI","2019","M","$70,250","$72,750","2019-06-01"
"","Peter-Lee Vassell","LAFC","2019","M","$70,250","$72,750","2019-06-01"
"","Tony Rocha","NYC","2019","M","$72,347","$72,347","2019-06-01"
"","Tony Rocha","NYC","2019","M","$72,347","$72,347","2019-09-13"
"","Nicolas Firmino","NER","2019","M","$67,500","$71,167","2019-06-01"
"","Eric Bird","HOU","2019","M","$70,875","$70,875","2019-06-01"
"","Eric Bird","HOU","2019","M","$70,875","$70,875","2019-09-13"
"","Anthony Fontana","PHI","2019","M","$70,260","$70,260","2019-06-01"
"","Corben Bone","CIN","2019","M","$70,250","$70,250","2019-09-13"
"","Servando Carrasco","LAG","2019","M","$70,250","$70,250","2019-09-13"
"","Jimmy McLaughlin","CIN","2019","M","$70,250","$70,250","2019-09-13"
"","Andrés Flores","POR","2019","M","$70,250","$70,250","2019-09-13"
"","Raheem Edwards","CHI","2019","M","$70,250","$70,250","2019-09-13"
"","Ballou Tabla","MTL","2019","M","$70,250","$70,250","2019-09-13"
"","Ryan Telfer","TOR","2019","M","$70,250","$70,250","2019-09-13"
"","Daniel Bedoya","NYC","2019","M","$70,250","$70,250","2019-09-13"
"","Justin Portillo","RSL","2019","M","$70,250","$70,250","2019-09-13"
"","Emil Cuello","LAG","2019","M","$70,250","$70,250","2019-09-13"
"","Nazmi Albadawi","CIN","2019","M","$70,250","$70,250","2019-09-13"
"","Jon Gallagher","ATL","2019","M","$70,250","$70,250","2019-09-13"
"","Renzo Zambrano","POR","2019","M","$70,250","$70,250","2019-09-13"
"","Corben Bone","CIN","2019","M","$70,250","$70,250","2019-06-01"
"","Servando Carrasco","LAG","2019","M","$70,250","$70,250","2019-06-01"
"","Jimmy McLaughlin","CIN","2019","M","$70,250","$70,250","2019-06-01"
"","Andrés Flores","POR","2019","M","$70,250","$70,250","2019-06-01"
"","Raheem Edwards","CHI","2019","M","$70,250","$70,250","2019-06-01"
"","Henry Wingo","SEA","2019","M","$70,250","$70,250","2019-06-01"
"","Ryan Telfer","TOR","2019","M","$70,250","$70,250","2019-06-01"
"","Daniel Bedoya","NYC","2019","M","$70,250","$70,250","2019-06-01"
"","Justin Portillo","RSL","2019","M","$70,250","$70,250","2019-06-01"
"","Emil Cuello","LAG","2019","M","$70,250","$70,250","2019-06-01"
"","Nazmi Albadawi","CIN","2019","M","$70,250","$70,250","2019-06-01"
"","Akeem Ward","DCU","2019","M","$70,250","$70,250","2019-06-01"
"","Jon Gallagher","ATL","2019","M","$70,250","$70,250","2019-06-01"
"","Renzo Zambrano","POR","2019","M","$70,250","$70,250","2019-06-01"
"","Pierre Da Silva","ORL","2019","M","$70,248","$70,248","2019-06-01"
"","Noble Okello","TOR","2019","M","$56,245","$68,060","2019-09-13"
"","Clément Bayiha","MTL","2019","M","$61,750","$67,125","2019-09-13"
"","Clément Bayiha","MTL","2019","M","$61,750","$67,125","2019-06-01"
"","Ben Mines","NYRB","2019","M","$57,229","$63,243","2019-09-13"
"","Ben Mines","NYRB","2019","M","$57,229","$63,243","2019-06-01"
"","Jacob Shaffelburg","TOR","2019","M","$56,250","$62,750","2019-09-13"
"","Ken Krolicki","MTL","2019","M","$59,950","$59,950","2019-09-13"
"","Ken Krolicki","MTL","2019","M","$59,950","$59,950","2019-06-01"
"","David Norman","VAN","2019","M","$57,225","$58,225","2019-06-01"
"","David Norman","VAN","2019","M","$57,225","$58,225","2019-09-13"
"","Luis Argudo","CLB","2019","M","$57,225","$57,225","2019-06-01"
"","Handwalla Bwana","SEA","2019","M","$57,225","$57,225","2019-06-01"
"","Alex Roldan","SEA","2019","M","$57,225","$57,225","2019-06-01"
"","Elliot Collier","CHI","2019","M","$57,225","$57,225","2019-06-01"
"","Aidan Daniels","TOR","2019","M","$57,225","$57,225","2019-06-01"
"","Kevin Partida","SJE","2019","M","$57,225","$57,225","2019-06-01"
"","Luis Argudo","CLB","2019","M","$57,225","$57,225","2019-09-13"
"","Handwalla Bwana","SEA","2019","M","$57,225","$57,225","2019-09-13"
"","Alex Roldan","SEA","2019","M","$57,225","$57,225","2019-09-13"
"","Elliot Collier","CHI","2019","M","$57,225","$57,225","2019-09-13"
"","Aidan Daniels","TOR","2019","M","$57,225","$57,225","2019-09-13"
"","Kevin Partida","SJE","2019","M","$57,225","$57,225","2019-09-13"
"","Dion Pereira","ATL","2019","M","$56,250","$56,250","2019-06-01"
"","Anderson Asiedu","ATL","2019","M","$56,250","$56,250","2019-06-01"
"","DeJuan Jones","NER","2019","M","$56,250","$56,250","2019-06-01"
"","Hassani Dotson","MIN","2019","M","$56,250","$56,250","2019-06-01"
"","Ally Ng'Anzi","MIN","2019","M","$56,250","$56,250","2019-06-01"
"","Javier Pérez","LAFC","2019","M","$56,250","$56,250","2019-06-01"
"","Luis Arriaga","RSL","2019","M","$56,250","$56,250","2019-06-01"
"","Jeremiah Gutjahr","CHI","2019","M","$56,250","$56,250","2019-06-01"
"","Amar Sejdic","MTL","2019","M","$56,250","$56,250","2019-06-01"
"","Michee Ngalina","PHI","2019","M","$56,250","$56,250","2019-06-01"
"","Justin Haak","NYC","2019","M","$56,250","$56,250","2019-06-01"
"","Marvin Loría","POR","2019","M","$56,250","$56,250","2019-06-01"
"","Dion Pereira","ATL","2019","M","$56,250","$56,250","2019-09-13"
"","DeJuan Jones","NER","2019","M","$56,250","$56,250","2019-09-13"
"","Hassani Dotson","MIN","2019","M","$56,250","$56,250","2019-09-13"
"","Ally Ng'Anzi","MIN","2019","M","$56,250","$56,250","2019-09-13"
"","Javier Pérez","LAFC","2019","M","$56,250","$56,250","2019-09-13"
"","Luis Arriaga","RSL","2019","M","$56,250","$56,250","2019-09-13"
"","Jeremiah Gutjahr","CHI","2019","M","$56,250","$56,250","2019-09-13"
"","Amar Sejdic","MTL","2019","M","$56,250","$56,250","2019-09-13"
"","Michee Ngalina","PHI","2019","M","$56,250","$56,250","2019-09-13"
"","Justin Haak","NYC","2019","M","$56,250","$56,250","2019-09-13"
"","Marvin Loría","POR","2019","M","$56,250","$56,250","2019-09-13"
"","Chris Cadden","CLB","2019","M","$56,250","$56,250","2019-09-13"
"","Felipe Hernandez","SKC","2019","M","$56,250","$56,250","2019-09-13"
